Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,31.7686767578125,34.5792263364082,26.258105637348358,28.358123343957676,855215656
2007-10-08,30.142337799072266,32.84235832798398,29.952861847653757,32.84235832798398,126671715
2007-10-09,32.19498825073242,32.4792000679655,28.53180181972493,30.1581290413598,116725709
2007-10-10,32.4949951171875,33.15815898214266,32.21078325597869,33.031840933693566,67931378
2007-10-11,36.12659454345703,37.89502972062777,32.2107765474939,37.89502972062777,106320954
2007-10-12,35.88975524902344,37.2318707531313,35.05290761486709,35.36869949818658,99410791
2007-10-15,36.363433837890625,36.852913702631575,36.04764203478051,36.631857727174314,41814972
2007-10-16,40.0739860534668,40.705573919704236,36.158168695276615,36.410800415211355,138614496
2007-10-17,43.2003288269043,44.21086000413223,33.505516835321416,36.00027330855352,204876259
2007-10-18,41.68452835083008,47.1950972628852,39.90030544397003,43.895071066670994,146617799
2007-10-19,41.54242706298828,43.23191423819678,39.47398797220372,40.73715531318938,110266491
2007-10-22,40.98979949951172,42.26875497321799,39.63189176809834,40.70558764793274,72253405
2007-10-23,43.91086196899414,44.30560172836732,42.00031896370763,42.00031896370763,74594921
2007-10-24,43.231910705566406,45.316137504523475,42.742430831011035,44.842445507159994,63055170
2007-10-25,43.13718032836914,44.14771605992971,38.100298117724364,41.76348479062952,34522489
2007-10-26,44.43193054199219,45.14246231590969,42.71086297633352,43.89508259952937,62370025
2007-10-29,45.33192443847656,46.421407871662254,44.937184684887605,45.158240660177604,43657697
2007-10-30,46.342464447021484,47.58983962026828,44.589817199992446,45.94772465487992,79921711
2007-10-31,47.30561447143555,48.34772979840397,46.42139929994688,46.57929517222697,44655368
2007-11-01,46.24773406982422,48.83722936507248,45.86878635945735,48.4740695364369,50632492
2007-11-02,47.084564208984375,47.36878023988623,44.210858130667006,44.574022107219335,32001693
2007-11-05,48.0477409362793,49.105644467649114,46.76878140138708,47.05299748683046,38833135
2007-11-06,48.679325103759766,51.758295605415746,48.016161369839814,48.88458894722996,81880281
2007-11-07,47.968780517578125,50.27405866097831,46.895089386175286,49.57931935628231,33593141
2007-11-08,47.147735595703125,48.426695192150895,46.105624176257855,46.73720789306134,27990521
2007-11-12,48.28459930419922,49.137239249921784,44.479303882084544,45.7266837502338,35153735
2007-11-13,49.437217712402344,50.431961031518604,47.54246690143788,49.10563803376374,43830531
2007-11-14,48.789852142333984,51.000395022910794,48.537216100347486,50.30565126144913,36738579
2007-11-15,49.61091232299805,50.4793398926739,48.6793246713381,49.705648162773194,29242252
2007-11-16,49.263553619384766,50.384613250544376,48.69512557904296,49.3898695339489,18895294
2007-11-19,51.04776382446289,52.89514697751061,50.00565244746214,50.38460009218922,40716718
2007-11-20,50.258296966552734,52.263576551325585,49.6425009981761,50.84251288571993,26342171
2007-11-21,46.342464447021484,50.85828595584055,45.221400867418936,50.55828628373349,26814499
2007-11-22,44.747718811035156,47.716165852237836,42.80559964320252,45.85299036967829,34096185
2007-11-23,47.71616744995117,48.00037928933558,45.03193214873834,47.68458740486366,27664090
2007-11-26,48.09510803222656,49.484591261876446,47.716160396795274,49.484591261876446,20159123
2007-11-27,46.91089630126953,48.916175655367965,46.42142058603678,48.916175655367965,20573198
2007-11-28,46.21614456176758,48.15826777721222,45.9003527261767,47.93721177901824,16435311
2007-11-29,44.96876907348633,47.62141961766358,44.38455332499946,47.368787864199405,25530967
2007-11-30,46.70562744140625,46.989839254837676,45.158248205434106,45.789831916704465,18437721
2007-12-03,47.36878967285156,47.95300544364517,46.91088978361309,47.27404954928445,16851227
2007-12-04,46.75300598144531,48.079333789623185,46.405634004712816,47.68459388042765,14008727
2007-12-05,48.61616134643555,48.78984941870553,46.737202572756196,46.83193840621203,27725290
2007-12-06,47.71616744995117,50.416186348905406,47.10037156195031,49.6740745637561,24104710
2007-12-07,47.510894775390625,48.695114229421236,46.65825933840928,48.01616259908392,11742386
2007-12-10,47.558258056640625,48.14246945111779,46.9424623428075,47.96878567706247,8330010
2007-12-11,47.33720779418945,48.25300325391725,47.100363919266705,47.98457933903129,11685950
2007-12-12,47.30561447143555,47.73193418323173,46.42139929994688,46.737191044507064,16342131
2007-12-13,46.51616287231445,48.00038667085771,46.34247902242634,47.368802804788615,14620172
2007-12-14,46.058250427246094,46.78457424714731,45.821406541382856,46.35825439595328,10991851
2007-12-17,43.27927780151367,46.579303861027064,42.63190203448544,46.32666784833295,19355678
2007-12-18,43.089813232421875,44.52666460404383,41.74769771355682,42.78980922668905,21607783
2007-12-19,42.300323486328125,44.85823801951799,41.937163759260564,44.479286131934096,19526912
2007-12-20,41.8740119934082,43.20033957995825,41.68453601201514,42.8529676612712,17105204
2007-12-24,43.15296936035156,43.831920997965874,42.158221581743234,42.50559348195557,16711519
2007-12-26,44.463504791259766,45.000352663726275,43.38981332952796,43.38981332952796,20930094
2007-12-27,44.7792854309082,46.01087251325896,44.40033358255407,45.37928895480215,44565277
2007-12-28,45.12665939331055,45.31613532650911,44.21085976338419,44.68454745478044,18354518
2007-12-31,45.458248138427734,45.72667207377539,44.90561238814775,45.474040301213584,11982308
2008-01-01,46.29509353637695,46.721413380418255,45.26877004818911,45.69508989223041,16687746
2008-01-02,46.04246520996094,46.64246889886191,45.363513554541385,46.29509698953988,13437280
2008-01-03,47.937198638916016,48.12667454497334,45.20560086645543,45.75823642725611,31815218
2008-01-04,47.68459701538086,49.26355675596939,47.36880506726315,48.63197285973398,28011310
2008-01-07,47.28984832763672,48.37932777707607,46.78458044752493,47.38458418125696,15858063
2008-01-08,45.67930221557617,48.00037312500731,45.12666648872119,47.33720939614113,13282666
2008-01-09,44.952980041503906,45.93193564993361,44.84245203546809,45.72667180055347,13113527
2008-01-10,43.87929153442383,46.421418711042506,43.57928753836525,45.15825120460882,18023003
2008-01-11,44.54245376586914,44.96877364094178,42.789806342393035,44.479293679487526,11629440
2008-01-14,45.221405029296875,45.69509282346182,43.910869655414096,44.62140134666152,10264240
2008-01-15,43.84771728515625,46.13720869315273,43.48455743570066,45.94773696870774,11558334
2008-01-16,42.94770431518555,43.89507995670281,41.858224897361595,43.53192015076149,14834065
2008-01-17,44.1003532409668,45.079309041171854,42.18980957150813,43.1056052749766,16169395
2008-01-18,42.04769515991211,43.78455026632009,41.68453112019334,43.73717806413004,13254156
2008-01-21,34.89500427246094,41.68452832386621,30.394968747952472,41.68452832386621,33202389
2008-01-22,31.389719009399414,33.158154305455845,24.931773673608046,31.452876953915574,58755707
2008-01-23,34.89500427246094,36.237119491924766,31.894982017188838,31.894982017188838,28425991
2008-01-24,34.97394943237305,37.452915849264876,33.316042529019946,36.773964355007955,29911930
2008-01-25,36.773963928222656,36.94764769804001,35.28974081392798,36.6318559105901,12550722
2008-01-28,37.1687126159668,37.452924436494385,33.316050167744386,36.26870494829503,13601109
2008-01-29,36.55291748046875,37.800297078937724,36.00028170854982,37.26344918722165,7679877
2008-01-30,34.5318489074707,36.78975982324621,34.07394900258145,36.63186389510525,9016102
2008-01-31,32.27393341064453,34.98974402603266,31.894983640069555,34.89500604798881,41538563
2008-02-01,33.394996643066406,33.631840530134944,32.52656905714842,32.8265708857818,9089201
2008-02-04,35.116065979003906,35.5265958605003,34.02658439697176,34.02658439697176,12009385
2008-02-05,36.205535888671875,36.67922356654687,34.42131315864947,35.1792125866094,14593303
2008-02-06,35.88975524902344,36.31607514814507,33.884478074905104,35.210803556526834,12429218
2008-02-07,34.20027542114258,36.616084999382075,33.97922149582944,35.400285197758166,11300078
2008-02-08,33.31604766845703,34.70553090706843,32.70025186750833,34.4213191078617,13514197
